Type,ID,Profile,Caption,Date,Location,URL,TypeName,MediaCount,Likes,Comments,Video Views,Is Video,Engagement Rate,Hashtags,Mentions,Tagged Users,Followers,Following,Image URL
post,3136505749521749022,enconcept_tothemax,"ศัพท์นี้ออกบ่อยใน #TGAT !! #Dek67 ต้องรู้ Get up แปลว่าอะไร มีหลายความหมายมากกกก🔥🐰

-——————————
✅ สอบถามเพิ่มเติม และสมัครเรียนได้ที่
Inbox : m.me/Enconcept
Line : https://lin.ee/5YDMROv
Call Center: 0804343838

📌เพื่อไม่พลาดความรู้ดี ๆ 
กดติดตาม Enconcept E-Academy ไว้เลย

#alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์ #getup #newjeans",2023-06-30 10:24:45,,https://www.instagram.com/p/CuHG1x8NtQe,GraphVideo,1,38,0,547,True,0.1671725836962738,#TGAT #Dek67 #alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์ #getup #newjeans,,kruptan_enconcept,22731,152,https://instagram.fbkk6-2.fna.fbcdn.net/v/t51.2885-15/356963557_792206332397703_2808744485003322471_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fbkk6-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=OnvBRm_HUlcAX9hNCEp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBEqK0yMBwAd0wAMmi7Ltj6EBqtgCForccK0K2bpxySZQ&oe=64EF3A7F&_nc_sid=bc0c2c
post,3136478611031497943,enconcept_tothemax,"Prefix คืออะไร?

Prefix คือ คำอุปสรรคที่เติมข้างหน้าคำหลัก แล้วทำให้ความหมายของคำ คำนั้นเปลี่ยนไปจากเดิม คำศัพท์ภาษาอังกฤษนั้นมีเยอะมากๆ หากเราจำ Prefix ได้ จะช่วยให้เราสามารถเดาศัพท์ หรือจดจำคำศัพท์ได้ง่ายขึ้นกว่าเดิม 

วันนี้ พี่ ๆ Enconcept จึงขอนำตัวอย่าง Prefix พร้อมทั้งความหมายต่าง ๆ มาให้ทุกคนเรียนรู้ไปพร้อม ๆ กัน แต่ถ้าน้อง ๆ ยังไม่มั่นใจศัพท์ ลองมาสอบ Simulation Tes ได้น้า

รายละเอียด
💡Simulation Test: TGAT & A-Level 2 วัน 2 สนามสอบ 
📅 1 ก.ค. 66 10.30-16.30 น. Simulation Test: A-Level ภาษาอังกฤษ, ภาษาไทย, สังคม 
📅 2 ก.ค. 66 13.00-16.00 น. Simulation Test: TGAT 1-3
@The Essence ชั้น 15 ตึก SIAMSCAPE
หรือ Online Via Zoom 
.
✅ข้อสอบเสมือนจริง Update ล่าสุด
✅ฝึกจับเวลาให้คุ้นเคยกับสนามสอบจริง
✅รู้จุดอ่อน เสริมจุดแข็ง เพื่อเพิ่มโอกาส Up คะแนน
✅จัดให้ครบทั้งการตรวจข้อสอบและเฉลยแบบละเอียด
.
📌ค่าสอบ TGAT 600 บาท
📌ค่าสอบ A-Level 450 บาท
🎉นักเรียน Unlimited Complete Pack 3 Years, Set C เข้าร่วมฟรี!
ช่องทางการสมัคร
📍Link: ลงทะเบียน https://forms.gle/zyKgQz1UUBS336MUA
📍Shop Online https://www.selfu.com/.../simulation-test-tgta-and-alevel...
📍Enconcept ทุกสาขาทั่วประเทศ
-------------------------------
✅ สอบถามเพิ่มเติม และสมัครเรียนได้ที่
Inbox : m.me/Enconcept
Line : https://lin.ee/5YDMROv
Call Center: 0804343838

📌เพื่อไม่พลาดความรู้ดี ๆ 
กดติดตาม Enconcept E-Academy ไว้เลย

#alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์",2023-06-30 09:30:08,,https://www.instagram.com/p/CuHAq3QJJzX,GraphSidecar,10,99,0,,False,0.43552857331397654,#alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์,,,22731,152,https://instagram.fbkk6-1.fna.fbcdn.net/v/t39.30808-6/357089390_10160820702479146_3517419098542424990_n.png?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=uusFqkkbIFcAX9iBbPR&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCt-LfkyNOGjD5IxpuETw3YSYBURPcWN5IqVA3c5K0WMQ&oe=64F380E5&_nc_sid=bc0c2c
post,3136420944839134416,enconcept_tothemax,"#ครูพี่กิ๊บขอท้า This That These Those เติมให้ถูก!! เข้าใจไม่ยาก ต้องดูให้จบ🔥

-------------------------------
✅ สอบถามเพิ่มเติม และสมัครเรียนได้ที่
Inbox : m.me/Enconcept
Line : https://lin.ee/5YDMROv
Call Center: 0804343838

📌เพื่อไม่พลาดความรู้ดี ๆ 
กดติดตาม Enconcept E-Academy ไว้เลย

#alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์",2023-06-30 07:37:40,,https://www.instagram.com/p/CuGzjtbO0zQ,GraphVideo,1,93,0,3800,True,0.40913290220403853,#ครูพี่กิ๊บขอท้า #alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์,,interpass_thailand,22731,152,https://instagram.fbkk6-2.fna.fbcdn.net/v/t51.2885-15/356955011_6739628232755527_8356134081466549730_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fbkk6-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Rn13X_Pm2R4AX-Y_b7F&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA6U3JOxCR3uJkG-g_RyPP-xHdBNmnrXaC9_L8xADRuKw&oe=64EF970F&_nc_sid=bc0c2c
post,3135768914443985608,enconcept_tothemax,"📢Enconcept จับมือกับ AT HOME แล้ววันนี้🫂⚡️
✨เรียนที่เดียว ครบจบทุกวิชา📚
อังกฤษ ไทย สังคม คณิต ฟิสิกส์ เคมี ชีววิทยา

เรารวมติวเตอร์ระดับประเทศมาให้น้อง ๆ เก่งพร้อมครบทุกศาสตร์ 
คอร์สเรียนออนไลน์ Enconcept หรือ AT HOME ซื้อได้ทุกสาขาทั่วประเทศ คลิกเลย
📍SELF U : https://www.selfu.com/
📍AT HOME : https://shorturl.at/gnDGH

สนใจคอร์ส & สอบถามเพิ่มเติม ทักแชทเลย ได้ทั้ง Enconcept & AT HOME 💬
—---------------------------
ทดลองเรียน ฟรี‼️
📕ประถม : https://enconcept.com/courses/free-trial/
📗ม.ต้น : https://enconcept.com/courses/free-trial/
📘ม.ปลาย : https://enconcept.com/courses/free-trial/
—---------------------------
✅ สอบถามเพิ่มเติม และสมัครเรียนได้ที่
Inbox : m.me/Enconcept
Line : https://lin.ee/5YDMROv
Call Center: 0804343838
📌อย่าพลาดโปรดี ๆ แบบนี้ 

กดติดตาม Enconcept E-Academy ไว้เลย
#alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์",2023-06-29 10:00:06,,https://www.instagram.com/p/CuEfTazJWLI,GraphImage,1,26,0,,False,0.11438124147639787,#alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์,,athome_th,22731,152,https://instagram.fbkk6-1.fna.fbcdn.net/v/t39.30808-6/356377288_10160818865504146_6023774028050888745_n.png?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Mubz9bUSIX0AX_IoivJ&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCtgfTKszfGKQUoklFdGpRHEYHdftBqIqFgcMLz5Hzr5Q&oe=64F36F6C&_nc_sid=bc0c2c
post,3135624110454415771,enconcept_tothemax,"วันนี้ทาง Enconcept ได้มีโอกาสเข้าไปติวให้กับน้อง ๆ โรงเรียนเซนต์ฟรังซิสซาเวียร์คอนแวนต์📚📝
วันพฤ.ที่ 29 มิ.ย. เวลา 9.00-15.00 น. 
ติว TGAT 1 โดยครูพี่กิ๊บ 
TGAT 2-3 โดยครูพี่โอ๋

น้องน่ารักกันมาก ๆ เลย ไว้มีโอกาสพบกันใหม่นะคะ🎉",2023-06-29 05:12:24,,https://www.instagram.com/p/CuD-YPkySGb,GraphSidecar,5,141,0,,False,0.6202982710835423,,,krupgib krupmhoroho,22731,152,https://instagram.fbkk6-2.fna.fbcdn.net/v/t51.2885-15/356042370_1806506356474765_9065248979507836654_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fbkk6-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=XOedbCOxjjEAX8IqYcg&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBHLwlUUm8mu93FlK5GvVMSBP171AjQoSMTPPaFLMvQiA&oe=64F38F24&_nc_sid=bc0c2c
post,3135016470198562173,enconcept_tothemax,"ATM ไม่ใช่แค่ตู้กดเงิน!! ความหมายคำนี้ระวังให้ดี เจอแน่ในข้อสอบ🏧💰

——————————
ทดลองเรียน ฟรี‼️
📗TCAS Admission 
📘A-Level 
https://enconcept.com/courses/free-trial/
——————————
✅ สอบถามเพิ่มเติม และสมัครเรียนได้ที่
Inbox : m.me/Enconcept
Line : https://lin.ee/5YDMROv
Call Center: 0804343838
📌เพื่อไม่พลาดความรู้ดี ๆ 
กดติดตาม Enconcept E-Academy ไว้เลย
#alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์",2023-06-28 09:06:51,,https://www.instagram.com/p/CuB0N6fLy19,GraphVideo,1,93,0,3781,True,0.40913290220403853,#alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์,,kruptan_enconcept,22731,152,https://instagram.fbkk6-1.fna.fbcdn.net/v/t51.2885-15/356251177_666241205349905_8064905322875546069_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=g0O1LINXO_sAX8YX2ic&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCiZFn8oaYCHX2dV0rnVzOjfrDfwqWnfGPZ8MR9sRh2Bw&oe=64EF34C6&_nc_sid=bc0c2c
post,3134884660866833542,enconcept_tothemax,"⭐️ตารางสถิติคะแนนต่ำสุด คณะแพทย์⭐️
“รอบ กสพท. ปี66” 🔥
#กสพท66 
—---------------------------
ทดลองเรียน ฟรี‼️
📗TCAS Admission 
📘A-Level 
https://enconcept.com/courses/free-trial/
—---------------------------
✅ สอบถามเพิ่มเติม และสมัครเรียนได้ที่
Inbox : m.me/Enconcept
Line : https://lin.ee/5YDMROv
Call Center: 0804343838
📌เพื่อไม่พลาดความรู้ดี ๆ 
กดติดตาม Enconcept E-Academy ไว้เลย
#alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์",2023-06-28 04:43:14,,https://www.instagram.com/p/CuBWP1eydyG,GraphImage,1,121,0,,False,0.5323127007170825,#กสพท66 #alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์,,,22731,152,https://instagram.fbkk6-2.fna.fbcdn.net/v/t51.2885-15/356613264_947424909860209_2483035014580443392_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fbkk6-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=8ssdFUroM3IAX8SiJ1c&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDSiYhQoAmh7-zE0NQBO6PBF353LtS1KRkMlLIyQhh9Ow&oe=64F382AF&_nc_sid=bc0c2c
post,3134215805131555860,enconcept_tothemax,"โรงเรียนสอนภาษาอังกฤษเอ็นคอนเซ็ปท์ จัดพิธีลงนามข้อตกลงอย่างเป็นทางการร่วมกับ บริษัทเอ็ดเทค คอร์ป จำกัด (AT HOME กวดวิชาออนไลน์) นำโดย นายแพทย์ธรรมศักดิ์ เอื้ออภิธร
ผู้อำนวยการศูนย์การเรียนนิวตัน (The Newton Sixth Form School) คุณอัครรัตน์ หาญเมธีคุณา
กรรมการผู้จัดการโรงเรียนเอ็นคอนเซ็ปท์ (Enconcept E-Academy) และ คุณชุติมณฑน์ เคารพาพงศ์ กรรมการผู้จัดการ บริษัทเอ็ดเทค คอร์ป จำกัด (AT HOME กวดวิชาออนไลน์) ณ สถาบัน เดอะนิวตัน สคูล สยามสแควร์เมื่อเช้าวันนี้

น้องๆ คนไหนสนใจเรียนออนไลน์ ครบ จบ พร้อมสอบ🔥 ติดต่อได้ทั้ง Enconcept และ Athome เลยค่ะ💪🏻❤️

—---------------------------
✅ สอบถามเพิ่มเติม และสมัครเรียนได้ที่
Inbox : m.me/Enconcept
Line : https://lin.ee/5YDMROv
Call Center: 0804343838

📌อย่าพลาดเรื่องราวดี ๆ แบบนี้ 
กดติดตาม Enconcept E-Academy ไว้เลย

#alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์",2023-06-27 06:34:21,,https://www.instagram.com/p/Ct--KtCSAQU,GraphSidecar,3,143,0,,False,0.6290968281201883,#alevel66 #tcas66 #dek66 #dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์,,,22731,152,https://instagram.fbkk6-1.fna.fbcdn.net/v/t51.2885-15/356394195_1327614794802887_8088639002464247435_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=sXEF99IG_NsAX9N496w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD1GzLBaPkrle0gPLV3FgYQXkw_bWVuKcL-CIxEKqpyQw&oe=64F211B1&_nc_sid=bc0c2c
post,3133639994158732926,enconcept_tothemax,พลังวัยรุ่น ติวก็เข้ม ร้องจุ๊กกรู้ก็ดัง🤣 @krupgib มีโอกาสได้ไปติวให้ น้องๆ ม.ต้น ร.ร. วิทยาศาสตร์จุฬาภรณ์ราชวิทยาลัย จังหวัดตรัง งานนี้บอกเลย น่ารักมากกกกกก,2023-06-26 11:30:19,,https://www.instagram.com/p/Ct87PjRydZ-,GraphSidecar,2,85,0,,False,0.37393867405745457,,krupgib,,22731,152,https://instagram.fbkk6-1.fna.fbcdn.net/v/t51.2885-15/355855344_808587127319456_6967374911187610051_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=wUmDf_9HPCsAX94IhI2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDKqO7pyS1u9ODUDzXCovSDVEqtnpR5lGQBPyYGaRDQuQ&oe=64EF288B&_nc_sid=bc0c2c
post,3133458625464651029,enconcept_tothemax,"ห้องสดเหลือ 5 ที่สุดท้ายเท่านั้น!! อย่ารอช้า เพราะมาแล้วตามคำเรียกร้อง🔥 คอร์ส Pre-Tcas Admission
เหมาะกับน้อง ๆ ม.ปลาย ที่กำลังจะสอบเข้ามหาวิทยาลัย แต่พื้นฐานไวยากรณ์ยังไม่แน่นพอ

🔹ต้องการเรียนเนื้อหาเน้น กระชับในโค้งสุดท้าย
เทคนิคที่ใช้ คือ การสอนไวยากรณ์ด้วยเทคนิคคิดเป็นภาพ แบบ Tree tactics

🔹การวิเคราะห์โครงสร้างประโยค
Strategic Structure และ Grammar topics ที่จำเป็นในการใช้สอบ Admission

🔹สัดส่วนของคอร์สนี้จะเรียนเนื้อหามากกว่าทำโจทย์
เพื่อให้พร้อมก่อนไปเรียนคอร์ส TCAS Admission

ผนึกกำลังสองติวเตอร์คุณภาพ ครูพี่กิ๊บ Oxford & ครูพี่แทน

🗓️ 1 ก.ค. - 9 ก.ย. 66
⏰ 13.00 - 15.00 น.
📍Siam soi 10
(มีZoom)

สนใจแอดไลน์เลย @enconcept

.
✅ สอบถามเพิ่มเติม และสมัครเรียนได้ที่
Inbox : m.me/Enconcept
Line : https://lin.ee/5YDMROv
Call Center: 0804343838

#dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์",2023-06-26 05:30:29,,https://www.instagram.com/p/Ct8SAShNE0V,GraphVideo,1,38,0,489,True,0.1671725836962738,#dek67 #tu87 #ภาษาอังกฤษ #ภาษาอังกฤษวันละคำ #ภาษาอังกฤษง่ายนิดเดียว #ภาษาอังกฤษออนไลน์ #เรียนภาษาอังกฤษ #เรียนภาษาอังกฤษออนไลน์,enconcept,,22731,152,https://instagram.fbkk6-1.fna.fbcdn.net/v/t51.2885-15/356007745_286145637208967_2246505512730580403_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=yK9XkLNEtmEAX-pra7q&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDQjOwa4HBoopi5JrbOyn0-B1y6YYoKdcr6ij2FMkjKTg&oe=64EF6922&_nc_sid=bc0c2c
